id,type,floor,status,installed,desc,location/0,location/1,addedBy
A81758FFFE04652F,Elsys ERS Sound,2,installed,2020-06-06T00:00:00.000Z,in 7A221,65.06132,25.46819,jeremias
A81758FFFE030F67,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,Above legal deposit workstations,65.06150,25.46674,jeremias
A81758FFFE031029,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Above bread table in Foobar,65.05834,25.46676,jeremias
A81758FFFE031007,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Opposite to 7A120,65.06123,25.46873,jeremias
A81758FFFE030F5D,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Next to class 7A245 and stairs P250,65.06129,25.46910,jeremias
A81758FFFE031044,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Attached to a white pillar next to 5D201,65.06048,25.46669,jeremias
A81758FFFE0463B7,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Ceiling of Botanical garden lobby,65.06353,25.46534,jeremias
A81758FFFE030D4C,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Gym 7F120,65.06162,25.46992,jeremias
A81758FFFE03106B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,"Saalastinsali, next to entrance",65.05705,25.46799,jeremias
A81758FFFE031069,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Campus ICT 7D101,65.06144,25.46849,jeremias
A81758FFFE04652B,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,in 7B121,65.06112,25.46957,jeremias
A81758FFFE04652E,Elsys ERS Sound,2,installed,2020-06-06T00:00:00.000Z,in 7B212,65.06111,25.46975,jeremias
A81758FFFE0463B5,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Hallway next to LO105,65.05807,25.46584,jeremias
A81758FFFE031048,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Attached to pillar at the end of cafeteria,65.06100,25.46808,jeremias
A81758FFFE030FDD,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Ceiling of botanical garden lobby,65.06351,25.46544,jeremias
A81758FFFE031053,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Next to 7F127,65.06170,25.46990,jeremias
A81758FFFE030F92,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Saalastinsali back corner,65.05678,25.46791,jeremias
A81758FFFE030FE0,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,in 7A119,65.06131,25.46802,jeremias
A81758FFFE030FD8,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,in 7B117,65.06116,25.46936,jeremias
A81758FFFE030F8C,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,in 7B212,65.06112,25.46949,jeremias
A81758FFFE030FFE,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Hallway next to LO105,65.05809,25.46576,jeremias
